merge_mode,frame,island_mbs,island_vs_edited_max,island_vs_edited_mean,island_mbs_differing,island_mbs_visible,skip_vs_orig_max,skip_mbs_differing,skip_vs_orig_mean,skip_mbs_visible,nongadget_vs_orig_max,nongadget_mbs_differing,nongadget_vs_orig_mean,nongadget_mbs_visible,gadget_vs_edited_max,gadget_mean_luma
geometric_halo4,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo4,14,1488,38,0.0184,58,4,72,80,0.0378,17,72,405,0.1046,30,0,2.44
geometric_halo4,15,1488,44,0.1606,152,46,66,239,0.1410,59,66,691,0.3240,120,39,2.44
geometric_halo4,16,0,0,0.0000,0,0,248,1619,24.8713,942,248,1619,24.8713,942,0,NaN
geometric_halo4,17,0,0,0.0000,0,0,255,1634,24.9330,976,255,1634,24.9330,976,0,NaN
geometric_halo4,18,0,0,0.0000,0,0,238,1648,24.7454,990,238,1648,24.7454,990,0,NaN
geometric_halo4,19,0,0,0.0000,0,0,238,1651,24.6969,998,238,1651,24.6969,998,0,NaN
geometric_halo4,20,0,0,0.0000,0,0,237,1665,24.7149,998,237,1665,24.7149,998,0,NaN
geometric_halo4,21,0,0,0.0000,0,0,238,1666,24.5833,1018,238,1666,24.5833,1018,0,NaN
geometric_halo4,22,0,0,0.0000,0,0,239,1664,24.4321,1019,239,1664,24.4321,1019,0,NaN
geometric_halo4,23,0,0,0.0000,0,0,234,1668,24.4261,1015,234,1668,24.4261,1015,0,NaN
geometric_halo4,24,0,0,0.0000,0,0,232,1676,24.3728,1030,232,1676,24.3728,1030,0,NaN
geometric_halo4,25,0,0,0.0000,0,0,241,1679,24.3715,1023,241,1679,24.3715,1023,0,NaN
geometric_halo4,26,0,0,0.0000,0,0,232,1688,24.4301,1044,232,1688,24.4301,1044,0,NaN
geometric_halo4,27,0,0,0.0000,0,0,230,1683,24.3891,1039,230,1683,24.3891,1039,0,NaN
geometric_halo4,28,0,0,0.0000,0,0,236,1690,24.3348,1039,236,1690,24.3348,1039,0,NaN
geometric_halo4,29,0,0,0.0000,0,0,228,1698,24.2511,1037,228,1698,24.2511,1037,0,NaN
geometric_halo8,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
geometric_halo8,14,2184,44,0.0751,103,24,65,234,0.3385,77,65,901,0.3692,115,0,2.44
geometric_halo8,15,2184,107,0.2239,163,47,85,301,0.5289,100,107,1245,0.7119,176,0,2.44
geometric_halo8,16,0,0,0.0000,0,0,248,2196,25.1428,1009,248,2196,25.1428,1009,0,NaN
geometric_halo8,17,0,0,0.0000,0,0,255,2238,25.1982,1042,255,2238,25.1982,1042,0,NaN
geometric_halo8,18,0,0,0.0000,0,0,238,2253,25.0112,1057,238,2253,25.0112,1057,0,NaN
geometric_halo8,19,0,0,0.0000,0,0,238,2265,24.9609,1064,238,2265,24.9609,1064,0,NaN
geometric_halo8,20,0,0,0.0000,0,0,237,2276,24.9827,1067,237,2276,24.9827,1067,0,NaN
geometric_halo8,21,0,0,0.0000,0,0,238,2275,24.8449,1086,238,2275,24.8449,1086,0,NaN
geometric_halo8,22,0,0,0.0000,0,0,239,2282,24.6941,1083,239,2282,24.6941,1083,0,NaN
geometric_halo8,23,0,0,0.0000,0,0,234,2291,24.6884,1082,234,2291,24.6884,1082,0,NaN
geometric_halo8,24,0,0,0.0000,0,0,232,2300,24.6324,1100,232,2300,24.6324,1100,0,NaN
geometric_halo8,25,0,0,0.0000,0,0,241,2306,24.6336,1086,241,2306,24.6336,1086,0,NaN
geometric_halo8,26,0,0,0.0000,0,0,232,2324,24.6911,1115,232,2324,24.6911,1115,0,NaN
geometric_halo8,27,0,0,0.0000,0,0,230,2327,24.6465,1105,230,2327,24.6465,1105,0,NaN
geometric_halo8,28,0,0,0.0000,0,0,236,2327,24.5894,1113,236,2327,24.5894,1113,0,NaN
geometric_halo8,29,0,0,0.0000,0,0,228,2331,24.5053,1103,228,2331,24.5053,1103,0,NaN
pmv_closure_halo1,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,9,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,10,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,11,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,12,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,13,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo1,14,1050,27,0.0273,64,3,95,697,0.9633,377,95,818,0.9463,385,13,2.44
pmv_closure_halo1,15,1091,82,0.1806,133,29,115,783,1.4013,423,115,952,1.4300,461,12,2.45
pmv_closure_halo1,16,1039,174,4.6160,876,503,117,900,1.7761,560,177,1938,2.8237,1118,0,NaN
pmv_closure_halo1,17,1113,176,4.9864,987,570,129,891,1.7365,540,173,2002,2.9566,1149,0,NaN
pmv_closure_halo1,18,1178,174,5.1029,1086,655,125,950,1.7591,550,173,2128,3.0943,1257,0,NaN
pmv_closure_halo1,19,1239,172,4.9865,1169,713,127,901,1.6334,494,176,2140,3.0272,1257,0,NaN
pmv_closure_halo1,20,1260,172,5.3323,1200,725,143,893,1.5745,474,176,2153,3.1345,1263,0,NaN
pmv_closure_halo1,21,1287,169,5.8972,1242,805,144,885,1.5153,441,164,2172,3.3300,1308,0,NaN
pmv_closure_halo1,22,1288,162,6.1043,1252,865,140,905,1.4838,428,163,2193,3.3960,1349,0,NaN
pmv_closure_halo1,23,1344,165,6.2713,1320,927,131,849,1.4158,382,162,2193,3.4682,1347,0,NaN
pmv_closure_halo1,24,1370,172,6.3279,1356,953,135,824,1.3677,373,173,2194,3.5248,1386,0,NaN
pmv_closure_halo1,25,1420,173,6.2754,1409,998,117,783,1.2142,331,172,2203,3.4821,1388,0,NaN
pmv_closure_halo1,26,1465,170,6.2748,1451,1019,129,747,1.3670,331,171,2212,3.6205,1395,0,NaN
pmv_closure_halo1,27,1480,170,6.3745,1470,1067,110,733,1.1849,300,174,2213,3.5824,1399,0,NaN
pmv_closure_halo1,28,1482,167,6.4323,1480,1077,126,739,1.1405,299,170,2221,3.5980,1420,0,NaN
pmv_closure_halo1,29,1496,169,6.9966,1496,1128,118,745,1.1099,288,177,2241,3.8214,1466,0,NaN
pmv_closure_halo2,0,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,1,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,2,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,3,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,4,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,5,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,6,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,7,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
pmv_closure_halo2,8,0,0,0.0000,0,0,0,0,0.0000,0,0,0,0.0000,0,0,NaN
